analytic_random_trajectory_burden,observed_learned_trajectory_burden,oracle_bad_row_trajectory_burden,policy_id,row_budget,split_seed
0.5110160697733975,0.16939890710382513,0.20218579234972678,next_step_bad::logistic_regression::all_structured,0.02,20250619
0.8043672158117333,0.3989071038251366,0.3989071038251366,next_step_bad::logistic_regression::all_structured,0.05,20250619
0.9473005457445333,0.5573770491803278,0.3989071038251366,next_step_bad::logistic_regression::all_structured,0.1,20250619
0.9937035167017373,0.7923497267759563,0.3989071038251366,next_step_bad::logistic_regression::all_structured,0.2,20250619
0.3109647722292367,0.11475409836065574,0.09289617486338798,next_step_bad::gradient_boosting::all_structured,0.01,20250619
0.5110160697733975,0.15846994535519127,0.20218579234972678,next_step_bad::gradient_boosting::all_structured,0.02,20250619
0.8043672158117333,0.45901639344262296,0.3989071038251366,next_step_bad::gradient_boosting::all_structured,0.05,20250619
0.9473005457445333,0.7213114754098361,0.3989071038251366,next_step_bad::gradient_boosting::all_structured,0.1,20250619
0.9937035167017373,0.9398907103825137,0.3989071038251366,next_step_bad::gradient_boosting::all_structured,0.2,20250619
0.3109647722292367,0.11475409836065574,0.09289617486338798,next_step_bad::hist_gradient_boosting::all_plus_interactions,0.01,20250619
0.5110160697733975,0.16393442622950818,0.20218579234972678,next_step_bad::hist_gradient_boosting::all_plus_interactions,0.02,20250619
0.8043672158117333,0.4262295081967213,0.3989071038251366,next_step_bad::hist_gradient_boosting::all_plus_interactions,0.05,20250619
0.9473005457445333,0.6557377049180327,0.3989071038251366,next_step_bad::hist_gradient_boosting::all_plus_interactions,0.1,20250619
0.9937035167017373,0.8961748633879781,0.3989071038251366,next_step_bad::hist_gradient_boosting::all_plus_interactions,0.2,20250619
0.3109647722292367,0.1092896174863388,0.09289617486338798,next_step_bad::random_forest::all_structured,0.01,20250619
0.5110160697733975,0.1912568306010929,0.20218579234972678,next_step_bad::random_forest::all_structured,0.02,20250619
0.8043672158117333,0.47540983606557374,0.3989071038251366,next_step_bad::random_forest::all_structured,0.05,20250619
0.9473005457445333,0.7049180327868853,0.3989071038251366,next_step_bad::random_forest::all_structured,0.1,20250619
0.9937035167017373,0.8907103825136612,0.3989071038251366,next_step_bad::random_forest::all_structured,0.2,20250619
0.2967675920116267,0.08196721311475409,0.09289617486338798,next_step_bad::logistic_regression::prefix_position_only,0.01,20250620
0.4920995043792423,0.10382513661202186,0.15846994535519127,next_step_bad::logistic_regression::prefix_position_only,0.02,20250620
0.7865613947472202,0.16939890710382513,0.3989071038251366,next_step_bad::logistic_regression::prefix_position_only,0.05,20250620
0.9358169932208884,0.30601092896174864,0.3989071038251366,next_step_bad::logistic_regression::prefix_position_only,0.1,20250620
0.9898658534055819,0.5409836065573771,0.3989071038251366,next_step_bad::logistic_regression::prefix_position_only,0.2,20250620
0.2967675920116267,0.13114754098360656,0.09289617486338798,next_step_bad::logistic_regression::non_position_history_only,0.01,20250620
0.4920995043792423,0.16393442622950818,0.15846994535519127,next_step_bad::logistic_regression::non_position_history_only,0.02,20250620
0.7865613947472202,0.45901639344262296,0.3989071038251366,next_step_bad::logistic_regression::non_position_history_only,0.05,20250620
0.9358169932208884,0.5846994535519126,0.3989071038251366,next_step_bad::logistic_regression::non_position_history_only,0.1,20250620
0.9898658534055819,0.9344262295081968,0.3989071038251366,next_step_bad::logistic_regression::non_position_history_only,0.2,20250620
0.2967675920116267,0.12021857923497267,0.09289617486338798,next_step_bad::logistic_regression::all_structured,0.01,20250620
0.4920995043792423,0.1912568306010929,0.15846994535519127,next_step_bad::logistic_regression::all_structured,0.02,20250620
0.7865613947472202,0.453551912568306,0.3989071038251366,next_step_bad::logistic_regression::all_structured,0.05,20250620
0.9358169932208884,0.6338797814207651,0.3989071038251366,next_step_bad::logistic_regression::all_structured,0.1,20250620
0.9898658534055819,0.8469945355191257,0.3989071038251366,next_step_bad::logistic_regression::all_structured,0.2,20250620
0.2967675920116267,0.12568306010928962,0.09289617486338798,next_step_bad::gradient_boosting::all_structured,0.01,20250620
0.4920995043792423,0.1912568306010929,0.15846994535519127,next_step_bad::gradient_boosting::all_structured,0.02,20250620
0.7865613947472202,0.45901639344262296,0.3989071038251366,next_step_bad::gradient_boosting::all_structured,0.05,20250620
0.9358169932208884,0.6994535519125683,0.3989071038251366,next_step_bad::gradient_boosting::all_structured,0.1,20250620
0.9898658534055819,0.9289617486338798,0.3989071038251366,next_step_bad::gradient_boosting::all_structured,0.2,20250620
0.2967675920116267,0.12021857923497267,0.09289617486338798,next_step_bad::hist_gradient_boosting::all_plus_interactions,0.01,20250620
